MarkerNum,Atlas_Number,Title,IndexName,Address,City,County,CountyId,Utm_Zone,Utm_East,Utm_North,Code,Year,Rthl,Htc,Loc_Desc,PrivateProperty,ConditionText,Size,MarkerText,HasFiles,HasImages,HasMapLocation
6,5029000006,"""Kelly No. 2"" Flight Line",Kelly No. 2 Flight Line,"                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,541318,3250648,World War II; aviation; military topics,1986,False,False,"Kelly AFB, Bldg 1600 in parking area for 205 S. Luke or Twiing Hall, San Antonio",False,In Situ,"27"" x 42""","In November 1916, Maj. Benjamin Foulois of the Aviation Section of the U.S. Army's Signal Corps chose a tract of land approximately three-fourths of a mile to the southeast of this spot to serve as a flying field for the Army Aviation Corps. In 1917, the site was named Camp Kelly and later Kelly Field in honor of Lt. George E.M. Kelly, who in 1911 had become the first American aviator to lose his life while piloting a military aircraft. Activities at the camp included both flight training and aircraft maintenance. In September 1917, Kelly Field's training activities moved north to this area, called ""Kelly No. 2"" to distinguish it from the original field. The new flight line, extending 125 yards east and 2400 yards west of this site, consisted of numerous hangars, warehouses, barracks, repair shops, classrooms, and maintenance buildings. ""Kelly No. 2"" retained its training function from 1917 through 1942. Its Air Corps Advanced Flying School produced many prominent American aviators, including Charles Lindbergh and Claire Chennault. In 1955, the advent of new and larger aircraft prompted the extension of the existing runway, this necessitating the demolition of the old ""Kelly No. 2"" flight line. (1986)",False,False,True
78,5029000078,Acequia Madre de Valero (Main Irrigation Ditch of Valero Mission),Acequia Madre de Valero,E. Nueva St.,San Antonio,Bexar,15,14,549784,3254588,missions; water topics; design and construction; Spanish topics,1968,True,False,"HemisFair Park, SW side of E. Nueva St. NW of HemisFair Blvd. Map dot approximate.",False,In Situ,"18"" x 28""","(Main Irrigation Ditch of Valero Mission) One in a network of ditches begun by the Spanish and their Indian charges at the founding of San Antonio in 1718. Hand-dug and made of dressed limestone, the acequia diverted water from San Antonio River through fields belonging to San Antonio de Valero Mission. Irrigation was the key to the growth of mission and town. The ditch paralleled present Broadway by Brackenridge Park and Alamo Street, then fed back into the river southwest of this section. It became part of modern waterworks after 1877. This section was restored, 1968.    Recorded Texas Historic Landmark - 1968",False,False,True
86,5029000086,Adina de Zavala,"de Zavala, Adina",,San Antonio,Bexar,15,14,549850,3255267,"missions; women, women's history topics; military topics; women's clubs",1994,False,False,"Alamo Plaza, San Antonio",False,In Situ,"27"" x 42""","As the granddaughter of Lorenzo de Zavala (1789-1836), first vice-president of the Republic of Texas, young Adina de Zavala was exposed to vivid accounts of Texas' Revolutionary and Republican past. She became a guiding force in the preservation of many of Texas' most revered historic structures and sites, including the Alamo, Mission San Francisco de Los Tejas in East Texas, and San Antonio's Spanish Governor's Palace. The ""De Zavala Daughters,"" a women's group formed in Miss Adina in 1889, erected Texas' first historical markers and helped preserve San Antonio's Spanish missions. Her firm belief, later verified, was that remnants of Mission San Antonio de Valero, known in 1836 as the Alamo's long barracks, lay underneath the wooden exterior of buildings adjacent to the Alamo church. By 1893, as president of the De Zavala chapter of the Daughters of the Republic of Texas (DRT), Miss Adina had secured the adjacent property owner's commitment to give the chapter first purchase option. In 1908, upon hearing that the 2-story long barracks were about to be razed, Miss Adina barricaded herself inside the buildings for three days and nights in an effort that ultimately prevented their destruction. (1994)",False,False,True
95,5029000095,Alamo Cenotaph,Alamo Cenotaph,,San Antonio,Bexar,15,14,549827,3255200,"military topics; Texas Revolution, Republic of Texas",1936,False,False,Alamo Plaza,False,In Situ,Texas Centennial Commission Monument,"In memory of the heroes who sacrificed their lives at the Alamo, March 6, 1836, in the defense of Texas. ""They chose never to surrender nor retreat; these brave hearts with flag still proudly waving, perished in the flames of immortality that their high sacrifice might lead to the founding of this Texas.""",False,False,True
96,5029000096,Alamo Low Barracks and Main Gateway,Alamo Low Barracks and Main Gateway,,San Antonio,Bexar,15,14,549850,3255267,"Texas Revolution, Republic of Texas; missions; military topics",1994,False,False,Alamo Plaza,False,In Situ,"27"" x 42""","Mission San Antonio de Valero, established nearby in 1718, was relocated here in 1724. By 1762, the Mission Plaza was enclosed by thick stone and adobe walls. The 11 x 14-foot main gateway was located at this site along the south wall. In 1803 Spanish cavalry from San Carlos de Parras del Alamo, Mexico, occupied the secularized mission and built one-story (low) barracks inside the south wall on each side of the main gateway. The Alamo, as the complex came to be known, was occupied in 1835 by Mexican soldiers led by Gen. Cos. They fortified the main gateway with artillery pieces and a defensive lunette, a semi-circular enclosure with deep trenches. In December 1835, Texas patriots captured the Alamo, but by Feb. 23, 1836, were under siege by an armed force led by Gen. Santa Anna. Couriers departed the Alamo through the main gateway during the siege. On March 6 Mexican troops breached the main gateway and retook the Alamo. After the assault, some Mexican military observers and local residents stated that Col. James Bowie and others died in the low barracks. The low barracks and main gateway were leveled in 1871, melding Valero Plaza on the south with the Alamo's plaza to create an open space. (1996)",False,False,True
97,5029000097,Alamo Masonic Cemetery,Alamo Masonic Cemetery,1700 E. Commerce St.,San Antonio,Bexar,15,14,551507,3254709,cemetery; fraternal organizations,1984,False,False,"E. Commerce St., San Antonio. Marker may be missing.",False,Missing,"18"" x 28""","Chartered in 1848, Alamo Lodge Number 44, Ancient Free and Accepted Masons, purchased this property in 1853-54 out of concern for the need of a burial ground for fellow Masons. The oldest remaining marked grave is that of S. Fredericca Hummel (1829-1854), a native of Germany who came to San Antonio in 1847. The first Masonic burial was for Missourian Charles Taplin, who died in 1855. One of the earliest Masonic grounds in Texas, Alamo Masonic Cemetery contains the graves of many immigrants who settled in San Antonio during the 19th and early 20 centuries. (1984)",False,False,True
98,5029000098,Alamo Portland and Roman Cement Company,Alamo Portland and Roman Cement Company,"                                                                                                                                                                                                        ",San Antonio,Bexar,15,14,550721,3259098,"geology; manufacturing; design and construction; Business topics, general",1991,False,False,"St. Mary's Ave. at Brackenridge Park, San Antonio",False,In Situ,"27"" x 42""","Near this site in 1879, Englishman William Loyd discovered a blue argillaceous limestone believed to be a natural cement rock. Analysis by San Antonio druggist and chemist George H. Kalteyer confirmed the rock contained proper proportions of lime and clay to produce portland cement. Loyd and Kalteyer, along with other investors, organized the Alamo Portland and Roman Cement Company, which was chartered in January 1880. This, the first portland cement plant west of the Mississippi, began with on intermittent pot kiln. A second pot kiln was added in 1881, when the company name was changed to Alamo Cement Company. The tall stack Schoefer-type kiln was added in 1889. Cement from this plant was used in the construction of the State Capitol and the Driskill Hotel in Austin. Through the vision and leadership of Portland Cement pioneers Loyd, Kalteyer,and Charles Baumberger, who succeeded to the presidency following Kalteyer's death in 1897, the company flourished. In 1908 the plant relocated to a site later known as Cementville near Alamo Heights. The original quarry became the Japanese Sunken Gardens in Brackenridge Park. The kiln area was designated as Baumberger Plaza in 1944. (1991)",False,False,True
112,5029000112,Alexander and Alma Oppenheimer Halff House,"Halff, Alexander and Alma Oppenheimer",601 Howard Street,San Antonio,Bexar,15,14,548876,3257068,"houses, residential buildings; Classical Revival (architectural style); design and construction; women",1997,True,False,"601 Howard Street, San Antonio at West Laurel",False,In Situ,Medallion and Plate,"Built in 1904, this was the home of merchant, banker, rancher and civic leader Alexander Hart Halff and Alma (Oppenheimer) Halff, both members of prominent local families. This imposing residence was designed by C.A. Coughlin and Atlee B. Ayres and merges late 19th century architectural elements with early 20th century modernism. Features of the house include a pressed metal roof and boxed eaves. The family lived here until 1963. Recorded Texas Historic Landmark - 1997",False,True,True
134,5029000134,Altgelt-Isbell House,Altgelt-Isbell House,"226 King William St.                                                                                                                                                                                    ",San Antonio,Bexar,15,14,549350,3254247,"houses, residential buildings",1962,True,False,,False,In Situ,RTHL medallion,RTHL medallion only,False,False,True
177,5029000177,Aqueduct,Aqueduct,"9045 Espada Rd                                                                                                                                                         ",San Antonio,Bexar,15,14,552255,3244958,water topics,1962,True,False,"Mission Aqueduct, Espada Rd., San Antonio",False,In Situ,Medallion Only,"Built by the Franciscan friars in 1731, the stone aqueduct was used to carry the water from the San Antonio River to irrigate the lands in the vicinity of Mission San Francisco de la Espada. The aqueduct is still in an excellent state of preservation and still in use after more than 200 years. The massive round arches that span the Piedras Pintas Creek, though only a few feet high, resemble the arches of the Roman aqueducts built by the Caesars. It is only structure of its kind in this locally that remains today. It is said to be the only aqueduct of its kind in the United States. A park has been developed by the San Antonio Conservation Society to provide a proper setting for this small monument to the faith and ingenuity of man. A stone house on the property is known to date from the Spanish era.",False,False,True
